SNumber,Company Name,Mobile Price,Offer Given,Rating,RAM,ROM,Display,Camera,Battery,Processor,Phone_Warranty,Accessory_Warranty,Ratings_Count,Reviews_Count
128,"realme 11 Pro 5G (Astral Black, 256 GB)",27999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,939.0,82.0
129,"realme 11 Pro 5G (Sunrise Beige, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
132,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
133,"realme 11 Pro+ 5G (Oasis Green, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
134,"realme 11 Pro 5G (Oasis Green, 256 GB)",24999.0,10% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
135,"realme 11 Pro+ 5G (Astral Black, 256 GB)",29999.0,9% off,4.3,12 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,9040.0,976.0
136,"realme 11 Pro 5G (Astral Black, 128 GB)",23999.0,7% off,4.3,8 GB,128 GB,17.02 cm (6.7 inch) Full HD+ Display100MP (OIS) + 2MP ,100MP (OIS) + 2MP | 16MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,33781.0,3041.0
137,"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
138,"realme 11 Pro+ 5G (Astral Black, 256 GB)",27999.0,6% off,4.3,8 GB,256 GB,17.02 cm (6.7 inch) Full HD+ Display200MP (OIS) + 8MP + 2MP ,200MP (OIS) + 8MP + 2MP | 32MP Front Camera,5000 mAh,Dimensity 7050 Processor,No Warranty,No Warranty,25055.0,2677.0
139,"realme 11 5G (Glory Black, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
140,"realme 11 5G (Glory Gold, 128 GB)",18999.0,9% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
141,"realme 11 5G (Glory Gold, 256 GB)",19999.0,13% off,4.3,8 GB,256 GB,17.07 cm (6.72 inch) Full HD+ Display108MP + 2MP ,108MP + 2MP | 16MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,6015.0,597.0
144,"realme 11x 5G (Purple Dawn, 128 GB)",15999.0,15% off,4.3,8 GB,128 GB,17.07 cm (6.72 inch) Full HD+ Display64MP + 2MP ,64MP + 2MP | 8MP Front Camera,5000 mAh,Dimensity 6100+ Processor,1 Year Manufacturer Warranty for Phone,6 Months Warranty for In the Box Accessories,2515.0,210.0
